EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,JOB_ID,SALARY,MANAGER_ID,DEPARTMENT_ID
1,Donald,OConnell,DOCONNEL,650.507.9833,SH_CLERK,2600,124,50
2,Douglas,Grant,DGRANT,650.507.9844,SH_CLERK,2600,124,50
3,Jennifer,Whalen,JWHALEN,515.123.4444,AD_ASST,4400,101,10
4,Michael,Hartstein,MHARTSTE,515.123.5555,MK_MAN,13000,100,20
5,Pat,Fay,PFAY,603.123.6666,MK_REP,6000,201,20
6,Susan,Mavris,SMAVRIS,515.123.7777,HR_REP,6500,101,40
7,Hermann,Baer,HBAER,515.123.8888,PR_REP,10000,101,70
8,Shelley,Higgins,SHIGGINS,515.123.8080,AC_MGR,12008,101,110
9,William,Gietz,WGIETZ,515.123.8181,AC_ACCOUNT,8300,205,110
10,Steven,King,SKING,515.123.4567,AD_PRES,24000,124,90
11,Neena,Kochhar,NKOCHHAR,515.123.4568,AD_VP,17000,100,90
12,Lex,De Haan,LDEHAAN,515.123.4569,AD_VP,17000,100,90
13,Alexander,Hunold,AHUNOLD,590.423.4567,IT_PROG,9000,102,60
14,Bruce,Ernst,BERNST,590.423.4568,IT_PROG,6000,103,60
15,David,Austin,DAUSTIN,590.423.4569,IT_PROG,4800,103,60
16,Valli,Pataballa,VPATABAL,590.423.4560,IT_PROG,4800,103,60
17,Diana,Lorentz,DLORENTZ,590.423.5567,IT_PROG,4200,103,60
18,Nancy,Greenberg,NGREENBE,515.124.4569,FI_MGR,12008,101,100
19,Daniel,Faviet,DFAVIET,515.124.4169,FI_ACCOUNT,9000,108,100
